timestamp,gazeDirectionLeft.x,gazeDirectionLeft.y,gazeDirectionLeft.z,gazeDirectionRight.x,gazeDirectionRight.y,gazeDirectionRight.z
 ,-0.1655884,-0.6508524,-0.7409091,-0.1655884,-0.6508524,-0.7409091
 ,-0.1472931,-0.5679029,-0.8098022,-0.1472931,-0.5679029,-0.8098022
 ,0.1091004,-0.02222921,-0.9937726,0.1091004,-0.02222921,-0.9937726
 ,0.01254273,0.01917303,-0.9997231,0.01254273,0.01917303,-0.9997231
 ,-0.04518128,-0.1905166,-0.9806269,-0.04518128,-0.1905166,-0.9806269
 ,0.009384157,-0.1748982,-0.9845361,0.009384157,-0.1748982,-0.9845361
 ,0.02384949,-0.007720254,-0.999683,0.02384949,-0.007720254,-0.999683
 ,0.04078675,-0.07115684,-0.9966297,0.04078675,-0.07115684,-0.9966297
 ,0.04394532,-0.07866201,-0.9959271,0.04394532,-0.07866201,-0.9959271
 ,0.05233766,-0.07497527,-0.9958055,0.05233766,-0.07497527,-0.9958055
 ,0.05805971,-0.06735154,-0.9960282,0.05805971,-0.06735154,-0.9960282
 ,0.04951479,-0.02544049,-0.998439,0.04951479,-0.02544049,-0.998439
 ,0.05725099,-0.04578932,-0.9973021,0.05725099,-0.04578932,-0.9973021
 ,0.04896547,-0.03737344,-0.9980997,0.04896547,-0.03737344,-0.9980997
 ,0.04652406,-0.04804928,-0.9977477,0.04652406,-0.04804928,-0.9977477
 ,0.04483033,-0.03540532,-0.9983637,0.04483033,-0.03540532,-0.9983637
 ,0.04202271,-0.1096139,-0.9930815,0.04202271,-0.1096139,-0.9930815
 ,0.05688478,-0.07026552,-0.9958959,0.05688478,-0.07026552,-0.9958959
 ,0.05322267,-0.04347425,-0.9976271,0.05322267,-0.04347425,-0.9976271
 ,0.0512848,-0.05527229,-0.9971462,0.0512848,-0.05527229,-0.9971462
 ,0.05488588,-0.05118443,-0.997167,0.05488588,-0.05118443,-0.997167
 ,0.06071474,-0.03204807,-0.9976312,0.06071474,-0.03204807,-0.9976312
 ,0.05462648,-0.04151392,-0.9976301,0.05462648,-0.04151392,-0.9976301
 ,0.05554201,-0.03083675,-0.9979669,0.05554201,-0.03083675,-0.9979669
 ,0.07252504,-0.05921195,-0.9956069,0.07252504,-0.05921195,-0.9956069
 ,0.06686403,-0.05612106,-0.9961684,0.06686403,-0.05612106,-0.9961684
 ,0.05940248,-0.04550374,-0.9971892,0.05940248,-0.04550374,-0.9971892
 ,0.07945253,-0.1192115,-0.9896837,0.07945253,-0.1192115,-0.9896837
 ,0.0639496,-0.05952089,-0.9961619,0.0639496,-0.05952089,-0.9961619
 ,0.0616913,-0.06538323,-0.9959401,0.0616913,-0.06538323,-0.9959401
 ,0.06806947,-0.06671806,-0.9954404,0.06806947,-0.06671806,-0.9954404
 ,0.06723024,-0.02888004,-0.997311,0.06723024,-0.02888004,-0.997311
 ,0.02513123,0.1043899,-0.9942049,0.02513123,0.1043899,-0.9942049
 ,0.02464295,0.07901743,-0.996565,0.02464295,0.07901743,-0.996565
 ,0.07365419,0.100352,-0.9922127,0.07365419,0.100352,-0.9922127
 ,0.04168702,0.07774208,-0.9960858,0.04168702,0.07774208,-0.9960858
 ,0.0476227,0.07941511,-0.9956959,0.0476227,0.07941511,-0.9956959
 ,0.02328492,0.07602327,-0.9968238,0.02328492,0.07602327,-0.9968238
 ,0.02139283,0.08137107,-0.9964492,0.02139283,0.08137107,-0.9964492
 ,0.007858278,0.08218659,-0.9965818,0.007858278,0.08218659,-0.9965818
 ,0.01269532,0.1155198,-0.9932181,0.01269532,0.1155198,-0.9932181
 ,-0.02845765,0.1238469,-0.9918787,-0.02845765,0.1238469,-0.9918787
 ,-0.04681397,0.1233502,-0.9912534,-0.04681397,0.1233502,-0.9912534
 ,-0.02580262,-0.04239422,-0.9987632,-0.02580262,-0.04239422,-0.9987632
 ,-0.02929688,-0.04589438,-0.9985029,-0.02929688,-0.04589438,-0.9985029
 ,-0.03034974,-0.0464872,-0.998451,-0.03034974,-0.0464872,-0.998451
 ,-0.03181458,-0.0395707,-0.998704,-0.03181458,-0.0395707,-0.998704
 ,-0.03317261,-0.05039912,-0.99817,-0.03317261,-0.05039912,-0.99817
 ,-0.0341034,-0.04942095,-0.9981943,-0.0341034,-0.04942095,-0.9981943
 ,-0.02954102,-0.04766431,-0.9984246,-0.02954102,-0.04766431,-0.9984246
 ,-0.03109742,-0.03853439,-0.9987639,-0.03109742,-0.03853439,-0.9987639
 ,-0.03031922,-0.03673538,-0.9988601,-0.03031922,-0.03673538,-0.9988601
 ,-0.04556275,-0.03825717,-0.9982215,-0.04556275,-0.03825717,-0.9982215
 ,-0.04795839,-0.03632326,-0.9981761,-0.04795839,-0.03632326,-0.9981761
 ,-0.03398133,-0.05198265,-0.9980621,-0.03398133,-0.05198265,-0.9980621
 ,-0.03382874,-0.06152356,-0.9975184,-0.03382874,-0.06152356,-0.9975184
 ,-0.0310669,-0.06374097,-0.9974777,-0.0310669,-0.06374097,-0.9974777
 ,-0.02670289,-0.06338679,-0.9976311,-0.02670289,-0.06338679,-0.9976311
 ,-0.03173829,-0.0741833,-0.9967326,-0.03173829,-0.0741833,-0.9967326
 ,-0.03866578,-0.06735799,-0.9969773,-0.03866578,-0.06735799,-0.9969773
 ,-0.02787782,-0.1133271,-0.9931548,-0.02787782,-0.1133271,-0.9931548
 ,-0.05326845,-0.04026879,-0.9977545,-0.05326845,-0.04026879,-0.9977545
 ,-0.0543976,-0.1306894,-0.9899201,-0.0543976,-0.1306894,-0.9899201
 ,-0.0353241,-0.1182949,-0.9923372,-0.0353241,-0.1182949,-0.9923372
 ,-0.05422975,-0.03924236,-0.9977523,-0.05422975,-0.03924236,-0.9977523
 ,-0.04666138,-0.04049699,-0.9980868,-0.04666138,-0.04049699,-0.9980868
 ,-0.04833986,-0.0455404,-0.9977833,-0.04833986,-0.0455404,-0.9977833
 ,-0.04769899,-0.04029406,-0.9980433,-0.04769899,-0.04029406,-0.9980433
 ,-0.04455567,-0.03800141,-0.9982744,-0.04455567,-0.03800141,-0.9982744
 ,-0.04731752,-0.04295096,-0.9979486,-0.04731752,-0.04295096,-0.9979486
 ,-0.04476929,-0.04592118,-0.9979337,-0.04476929,-0.04592118,-0.9979337
 ,-0.05584718,-0.03474542,-0.9978241,-0.05584718,-0.03474542,-0.9978241
 ,-0.05296327,-0.04205659,-0.9977051,-0.05296327,-0.04205659,-0.9977051
 ,-0.03968812,-0.04496296,-0.9981861,-0.03968812,-0.04496296,-0.9981861
 ,-0.04440308,-0.04639506,-0.997923,-0.04440308,-0.04639506,-0.997923
 ,-0.04353333,-0.04889995,-0.9978417,-0.04353333,-0.04889995,-0.9978417
 ,-0.04138184,-0.04448509,-0.9981513,-0.04138184,-0.04448509,-0.9981513
 ,-0.04852296,-0.04859119,-0.9976389,-0.04852296,-0.04859119,-0.9976389
 ,-0.04075623,-0.04859004,-0.9979761,-0.04075623,-0.04859004,-0.9979761
 ,-0.03048707,-0.05118366,-0.9982086,-0.03048707,-0.05118366,-0.9982086
 ,-0.04058839,-0.06288821,-0.9971846,-0.04058839,-0.06288821,-0.9971846
 ,-0.01008606,-0.04621777,-0.9988729,-0.01008606,-0.04621777,-0.9988729
 ,0.06529237,-0.02659994,-0.9975106,0.06529237,-0.02659994,-0.9975106
 ,0.0775757,-0.02662922,-0.9966196,0.0775757,-0.02662922,-0.9966196
 ,0.06936647,-0.02853101,-0.9971731,0.06936647,-0.02853101,-0.9971731
 ,0.06495668,-0.02186245,-0.9976339,0.06495668,-0.02186245,-0.9976339
 ,0.07186891,-0.02567308,-0.9970708,0.07186891,-0.02567308,-0.9970708
 ,0.07919313,-0.02545667,-0.9965229,0.07919313,-0.02545667,-0.9965229
 ,0.08197023,-0.02328278,-0.9963608,0.08197023,-0.02328278,-0.9963608
 ,0.07638551,-0.02633184,-0.9967221,0.07638551,-0.02633184,-0.9967221
 ,0.07186891,-0.02298313,-0.9971377,0.07186891,-0.02298313,-0.9971377
 ,0.08396913,-0.02383323,-0.9961749,0.08396913,-0.02383323,-0.9961749
 ,0.08407594,-0.01288302,-0.996367,0.08407594,-0.01288302,-0.996367
 ,0.0855713,-0.01554848,-0.9961951,0.0855713,-0.01554848,-0.9961951
 ,0.07257082,-0.01173745,-0.997279,0.07257082,-0.01173745,-0.997279
 ,0.07456972,-0.02171273,-0.996973,0.07456972,-0.02171273,-0.996973
 ,0.06938173,-0.03677929,-0.9969109,0.06938173,-0.03677929,-0.9969109
 ,0.07385255,-0.03067221,-0.9967866,0.07385255,-0.03067221,-0.9967866
 ,0.07182314,-0.02856197,-0.9970018,0.07182314,-0.02856197,-0.9970018
 ,0.07598878,-0.03111627,-0.9966099,0.07598878,-0.03111627,-0.9966099
 ,0.0725403,-0.02198577,-0.9971176,0.0725403,-0.02198577,-0.9971176
 ,0.0742798,-0.02434321,-0.9969267,0.0742798,-0.02434321,-0.9969267
 ,0.08499147,-0.01780159,-0.9962124,0.08499147,-0.01780159,-0.9962124
 ,0.06869508,-0.01613672,-0.9974915,0.06869508,-0.01613672,-0.9974915
 ,0.06927492,-0.0106411,-0.9975281,0.06927492,-0.0106411,-0.9975281
 ,0.07243349,-0.008494943,-0.997333,0.07243349,-0.008494943,-0.997333
 ,0.0705414,-0.01089419,-0.9974447,0.0705414,-0.01089419,-0.9974447
 ,0.06980897,-0.01187767,-0.9974813,0.06980897,-0.01187767,-0.9974813
 ,0.07267763,-0.0167096,-0.9972117,0.07267763,-0.0167096,-0.9972117
 ,0.07643129,-0.01374717,-0.9969654,0.07643129,-0.01374717,-0.9969654
 ,0.07148744,-0.02044784,-0.9972216,0.07148744,-0.02044784,-0.9972216
 ,0.08244325,-0.02254517,-0.9963335,0.08244325,-0.02254517,-0.9963335
 ,0.08065797,-0.02590471,-0.9963919,0.08065797,-0.02590471,-0.9963919
 ,0.07824709,-0.02803034,-0.9965276,0.07824709,-0.02803034,-0.9965276
 ,0.07652284,-0.02822605,-0.9966636,0.07652284,-0.02822605,-0.9966636
 ,-0.0457306,-0.02802347,-0.9985501,-0.0457306,-0.02802347,-0.9985501
 ,-0.05279543,-0.02807022,-0.9982089,-0.05279543,-0.02807022,-0.9982089
 ,-0.05076601,-0.03191353,-0.9981943,-0.05076601,-0.03191353,-0.9981943
 ,-0.04867555,-0.02565862,-0.9984812,-0.04867555,-0.02565862,-0.9984812
 ,-0.05043031,-0.02847741,-0.9983112,-0.05043031,-0.02847741,-0.9983112
 ,-0.05294801,-0.02912306,-0.9981629,-0.05294801,-0.02912306,-0.9981629
 ,-0.05607606,-0.03109384,-0.9979291,-0.05607606,-0.03109384,-0.9979291
 ,-0.05686952,-0.03046396,-0.9979076,-0.05686952,-0.03046396,-0.9979076
 ,-0.0569153,-0.02985327,-0.9979304,-0.0569153,-0.02985327,-0.9979304
 ,-0.05407716,-0.02945349,-0.9980879,-0.05407716,-0.02945349,-0.9980879
 ,-0.05398561,-0.0281561,-0.9981401,-0.05398561,-0.0281561,-0.9981401
 ,-0.05120851,-0.02839741,-0.9982722,-0.05120851,-0.02839741,-0.9982722
 ,-0.05236818,-0.02756727,-0.9982376,-0.05236818,-0.02756727,-0.9982376
 ,-0.05043031,-0.0302044,-0.9982674,-0.05043031,-0.0302044,-0.9982674
 ,-0.05139162,-0.02566186,-0.9983431,-0.05139162,-0.02566186,-0.9983431
 ,-0.05094911,-0.02561758,-0.9983622,-0.05094911,-0.02561758,-0.9983622
 ,-0.05442812,-0.02926841,-0.9980735,-0.05442812,-0.02926841,-0.9980735
 ,-0.05455019,-0.02873373,-0.9980896,-0.05455019,-0.02873373,-0.9980896
 ,-0.05555727,-0.0311573,-0.9979542,-0.05555727,-0.0311573,-0.9979542
 ,-0.05226137,-0.02663603,-0.9982731,-0.05226137,-0.02663603,-0.9982731
